git_pushes,iso2_code,year,quarter
15146,MG,2021,1
14792,MU,2021,1
14577,BH,2021,1
13773,RE,2021,1
12656,MO,2021,1
12169,ZW,2021,1
12015,CI,2021,1
11098,ME,2021,1
10401,AO,2021,1
9798,OM,2021,1
9786,SD,2021,1
8660,TT,2021,1
7739,MZ,2021,1
7573,CD,2021,1
7397,NA,2021,1
6919,TJ,2021,1
6634,YE,2021,1
6467,ZM,2021,1
5880,BJ,2021,1
5612,HT,2021,1
5234,LA,2021,1
4979,AF,2021,1
4627,JE,2021,1
4627,LY,2021,1
4542,BN,2021,1
4343,BW,2021,1
4238,BB,2021,1
4165,IM,2021,1
4086,MV,2021,1
3809,NC,2021,1
3145,BT,2021,1
3075,SO,2021,1
3045,TG,2021,1
2893,GP,2021,1
2847,MW,2021,1
2638,CV,2021,1
2513,AD,2021,1
2265,PF,2021,1
2210,BF,2021,1
2178,SL,2021,1
2132,ER,2021,1
1799,MQ,2021,1
1758,BS,2021,1
1492,BZ,2021,1
1455,ML,2021,1
1413,MR,2021,1
1327,LR,2021,1
1299,GM,2021,1
1170,GA,2021,1
1065,PG,2021,1
938,GN,2021,1
21827012,US,2021,2
21265233,EU,2021,2
9840045,IN,2021,2
4832491,BR,2021,2
4473869,DE,2021,2
4397483,CN,2021,2
4258700,GB,2021,2
3978131,KR,2021,2
3934453,RU,2021,2
3582179,FR,2021,2
3185159,CA,2021,2
3134871,JP,2021,2
1954129,ES,2021,2
1750733,HK,2021,2
1661001,PL,2021,2
1584501,UA,2021,2
1563283,NL,2021,2
1493303,ID,2021,2
1389212,AU,2021,2
1356617,VN,2021,2
1277577,IT,2021,2
1096382,TW,2021,2
1004178,SE,2021,2
1002170,AR,2021,2
974157,MX,2021,2
953241,SG,2021,2
927307,TR,2021,2
885754,CH,2021,2
826528,CO,2021,2
780462,IL,2021,2
617469,BD,2021,2
611398,BE,2021,2
564099,NO,2021,2
555080,CZ,2021,2
552883,BY,2021,2
527348,DK,2021,2
514830,PH,2021,2
490560,PT,2021,2
480972,FI,2021,2
477095,RO,2021,2
473239,NG,2021,2
469927,PK,2021,2
466379,AT,2021,2
457731,TH,2021,2
448949,EG,2021,2
441833,IE,2021,2
363158,NZ,2021,2
347705,CL,2021,2
330731,HU,2021,2
329917,ZA,2021,2
310773,PE,2021,2
296314,KE,2021,2
296213,LK,2021,2
293762,MY,2021,2
291319,BG,2021,2
272533,GR,2021,2
251212,IR,2021,2
210882,NP,2021,2
203567,RS,2021,2
188134,MA,2021,2
185264,TN,2021,2
176693,JO,2021,2
151933,LT,2021,2
147595,KZ,2021,2
143030,SK,2021,2
138486,EC,2021,2
138350,CR,2021,2
137959,HR,2021,2
133593,AE,2021,2
118059,SA,2021,2
115734,VE,2021,2
112841,EE,2021,2
111150,GT,2021,2
109228,UY,2021,2
106326,UZ,2021,2
84211,LV,2021,2
83214,SI,2021,2
82174,GH,2021,2
77529,AM,2021,2
75699,BO,2021,2
74472,LB,2021,2
73007,DO,2021,2
69177,GE,2021,2
66448,KG,2021,2
64608,BA,2021,2
63988,IQ,2021,2
63427,DZ,2021,2
61955,AZ,2021,2
60536,ET,2021,2
60192,MD,2021,2
52919,SV,2021,2
43027,MK,2021,2
42239,RW,2021,2
42047,UG,2021,2
39753,IS,2021,2
38974,KH,2021,2
38655,LU,2021,2
38130,PS,2021,2
36801,HN,2021,2
35086,AL,2021,2
34627,PR,2021,2
33793,CM,2021,2
28023,TZ,2021,2
27795,CY,2021,2
27333,MM,2021,2
24459,PA,2021,2
24131,MT,2021,2
23025,SN,2021,2
21566,CU,2021,2
21381,PY,2021,2
19860,NI,2021,2
19271,SY,2021,2
18794,QA,2021,2
18574,KW,2021,2
18150,JM,2021,2
17934,MN,2021,2
17685,MU,2021,2
16782,MG,2021,2
16739,ZW,2021,2
14910,BH,2021,2
13626,RE,2021,2
13564,AO,2021,2
13488,CI,2021,2
13438,ME,2021,2
13251,TT,2021,2
13070,OM,2021,2
12009,MO,2021,2
10452,ZM,2021,2
9464,TJ,2021,2
9160,MZ,2021,2
9039,CD,2021,2
8848,BJ,2021,2
8723,SD,2021,2
8128,BN,2021,2
7311,YE,2021,2
6922,BW,2021,2
6549,LA,2021,2
6255,AF,2021,2
5943,HT,2021,2
5557,NA,2021,2
5104,MV,2021,2
4356,MW,2021,2
4307,BT,2021,2
4210,NC,2021,2
4070,JE,2021,2
3930,LY,2021,2
3914,IM,2021,2
3853,BB,2021,2
3789,CV,2021,2
3632,PF,2021,2
3555,LR,2021,2
3420,SO,2021,2
3180,TG,2021,2
3130,GP,2021,2
2632,BF,2021,2
2469,BZ,2021,2
2460,SL,2021,2
2222,BS,2021,2
2121,GN,2021,2
1932,BI,2021,2
1748,ML,2021,2
1721,MR,2021,2
1480,ER,2021,2
1426,AD,2021,2
1294,TM,2021,2
1115,GM,2021,2
1072,PG,2021,2
934,LS,2021,2
19828529,US,2021,3
16977850,EU,2021,3
9768364,IN,2021,3
4946212,BR,2021,3
4210908,KR,2021,3
4193052,CN,2021,3
3906973,DE,2021,3
3872936,GB,2021,3
3605769,RU,2021,3
3077743,JP,2021,3
2775711,CA,2021,3
2758044,FR,2021,3
1849260,HK,2021,3
1574819,ID,2021,3
1527575,UA,2021,3
1512570,AU,2021,3
1394290,VN,2021,3
1359940,ES,2021,3
1269696,NL,2021,3
1243129,PL,2021,3
1054099,AR,2021,3
1043822,IT,2021,3
1020854,TW,2021,3
1004287,SG,2021,3
885658,MX,2021,3
867496,BD,2021,3
851498,CO,2021,3
794468,TR,2021,3
744413,SE,2021,3
722211,IL,2021,3
720061,CH,2021,3
556379,NG,2021,3
528265,BY,2021,3
517416,PH,2021,3
493800,PK,2021,3
486359,BE,2021,3
464607,TH,2021,3
457126,CZ,2021,3
453123,NO,2021,3
438725,EG,2021,3
403465,FI,2021,3
389639,NZ,2021,3
375524,IE,2021,3
368413,LK,2021,3
363101,RO,2021,3
362679,AT,2021,3
362631,DK,2021,3
362279,PT,2021,3
361072,ZA,2021,3
348862,KE,2021,3
315736,PE,2021,3
314655,IR,2021,3
314289,MY,2021,3
300908,CL,2021,3
267262,HU,2021,3
264891,BG,2021,3
231738,GR,2021,3
201290,NP,2021,3
179340,RS,2021,3
165774,EC,2021,3
163026,JO,2021,3
154756,TN,2021,3
153318,MA,2021,3
148684,AE,2021,3
132388,HR,2021,3
131032,SA,2021,3
127627,ET,2021,3
124832,UZ,2021,3
123339,LT,2021,3
122496,SK,2021,3
119638,KZ,2021,3
118082,UY,2021,3
116965,VE,2021,3
107217,CR,2021,3
96198,GT,2021,3
94148,EE,2021,3
92450,GH,2021,3
86665,LV,2021,3
76471,DZ,2021,3
75840,AM,2021,3
72626,GE,2021,3
72421,SI,2021,3
70388,DO,2021,3
68199,BO,2021,3
63485,AZ,2021,3
62514,IQ,2021,3
59477,BA,2021,3
59314,UG,2021,3
56803,MD,2021,3
54974,KG,2021,3
50699,SV,2021,3
45173,LB,2021,3
42838,CM,2021,3
42187,RW,2021,3
42119,MM,2021,3
40347,PS,2021,3
39826,HN,2021,3
38747,KH,2021,3
34581,LU,2021,3
34077,MK,2021,3
30566,TZ,2021,3
30130,PR,2021,3
28396,CY,2021,3
27880,IS,2021,3
27724,PY,2021,3
27063,AL,2021,3
24395,CU,2021,3
23748,PA,2021,3
23547,SN,2021,3
21718,SY,2021,3
21155,NI,2021,3
20344,MT,2021,3
19131,ZW,2021,3
18413,MG,2021,3
16942,JM,2021,3
16763,QA,2021,3
15974,AO,2021,3
15893,CI,2021,3
15664,KW,2021,3
15335,BJ,2021,3
14072,ZM,2021,3
13845,MU,2021,3
13743,RE,2021,3
12693,MN,2021,3
11984,MO,2021,3
11842,BH,2021,3
11807,OM,2021,3
10603,MZ,2021,3
10525,TT,2021,3
10044,ME,2021,3
9902,SD,2021,3
9792,YE,2021,3
9720,CD,2021,3
7438,TJ,2021,3
7004,MW,2021,3
6868,AF,2021,3
6496,LA,2021,3
5392,BW,2021,3
5367,HT,2021,3
4668,LY,2021,3
4615,MV,2021,3
4482,SO,2021,3
4167,ER,2021,3
4138,TG,2021,3
4059,BN,2021,3
3816,JE,2021,3
3768,NC,2021,3
3688,SL,2021,3
3658,NA,2021,3
3339,CV,2021,3
3333,BB,2021,3
3290,AD,2021,3
3246,GP,2021,3
2999,MQ,2021,3
2825,IM,2021,3
2605,BF,2021,3
2429,BI,2021,3
2423,ML,2021,3
2284,GN,2021,3
2276,LS,2021,3
2246,BZ,2021,3
2244,BT,2021,3
2145,TM,2021,3
2141,LR,2021,3
1660,GM,2021,3
1565,BS,2021,3
1325,MR,2021,3
1324,PG,2021,3
1304,GY,2021,3
1140,GA,2021,3
784,FJ,2021,3
710,CG,2021,3
21495838,US,2021,4
21472016,EU,2021,4
8891597,IN,2021,4
4787766,BR,2021,4
4527452,RU,2021,4
4411751,DE,2021,4
4285652,KR,2021,4
4244797,GB,2021,4
3722427,CN,2021,4
3554191,FR,2021,4
3268760,CA,2021,4
2975459,JP,2021,4
1988638,ID,2021,4
1987165,ES,2021,4
1861038,UA,2021,4
1846260,HK,2021,4
1631704,VN,2021,4
1606152,NL,2021,4
1562846,PL,2021,4
1355557,AU,2021,4
1319396,IT,2021,4
1165032,AR,2021,4
1118045,SG,2021,4
1047996,TW,2021,4
1037743,SE,2021,4
979483,MX,2021,4
963081,CO,2021,4
927435,CH,2021,4
885515,TR,2021,4
826862,IL,2021,4
721604,BD,2021,4
638470,BY,2021,4
638349,BE,2021,4
610978,NO,2021,4
589288,DK,2021,4
562132,CZ,2021,4
555652,FI,2021,4
522972,PH,2021,4
517595,PK,2021,4
512428,NG,2021,4
501857,TH,2021,4
463475,AT,2021,4
461799,RO,2021,4
456143,PT,2021,4
441769,EG,2021,4
437648,IE,2021,4
373029,HU,2021,4
352433,PE,2021,4
338229,NZ,2021,4
325208,IR,2021,4
322887,BG,2021,4
322789,MY,2021,4
320824,ZA,2021,4
309456,LK,2021,4
302282,CL,2021,4
301488,KE,2021,4
257324,GR,2021,4
209342,RS,2021,4
208097,TN,2021,4
200511,MA,2021,4
191555,SA,2021,4
170251,NP,2021,4
157119,LT,2021,4
152605,UZ,2021,4
150122,SK,2021,4
142696,KZ,2021,4
142410,AE,2021,4
142238,HR,2021,4
134101,EC,2021,4
132775,EE,2021,4
124363,UY,2021,4
119987,CR,2021,4
111742,VE,2021,4
99387,JO,2021,4
96885,LV,2021,4
96132,SI,2021,4
95916,GH,2021,4
83194,ET,2021,4
80888,GT,2021,4
78995,AZ,2021,4
77214,KG,2021,4
75414,GE,2021,4
73891,BO,2021,4
73276,AM,2021,4
72449,DO,2021,4
70545,DZ,2021,4
65420,MD,2021,4
60734,IQ,2021,4
53703,SV,2021,4
53537,BA,2021,4
53008,LB,2021,4
50157,UG,2021,4
44470,MK,2021,4
42491,IS,2021,4
41882,CM,2021,4
41667,RW,2021,4
41611,MM,2021,4
39584,LU,2021,4
38957,KH,2021,4
35609,CY,2021,4
35276,PS,2021,4
34144,HN,2021,4
32304,PR,2021,4
31387,AL,2021,4
